período,quantidade de locais, quantidade de periódicos
"1740 - 1749", 1, 1 
"1760 - 1769", 1, 1
"1800 - 1809", 2, 3 
"1810 - 1819", 8, 21
"1820 - 1829", 14, 130
"1830 - 1839", 22, 336
"1840 - 1849", 21, 383
"1850 - 1859", 25, 450
"1860 - 1869", 27, 624
"1870 - 1879", 28, 981
"1880 - 1889", 28, 1595
"1890 - 1899", 27, 1368
"1900 - 1909", 28, 917
"1910 - 1919", 32, 936
"1920 - 1929", 29, 819
"1930 - 1939", 28, 678
"1940 - 1949", 28, 409
"1950 - 1959", 27, 388
"1960 - 1969", 20, 274
"1970 - 1979", 19, 236
"1980 - 1989", 20, 197
"1990 - 1999", 13, 102
"2000 - 2009", 10, 69
"2010 - 2019", 5, 19
"2020 - 2023", 3, 13
"n.i.", 14, 57